what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780033151
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1315780034509
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780034901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780040110
closed,editor,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1315780040299
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1315780042957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780050237
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780051398
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780053164
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1315780056587
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780057017
opened,editor,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1315780057436
activated,editor,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1315780057505
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780063555
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780064092
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1315780068017
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1315780068083
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1315780068083
