what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1315578372527
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1315578372535
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1315578372542
started,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1315578372546
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1315578372549
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1315578372550
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1315578372555
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1315578372556
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1315578372557
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1315578372558
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1315578372559
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1315578372588
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1315578372589
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1315578372589
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1315578372592
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1315578372596
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1315578372605
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1315578372638
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1315578372662
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1315578372665
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1315578372666
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1315578372671
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1315578372671
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1315578372672
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1315578372673
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1315578372703
os,sysinfo,,,"macosx",1315578372704
arch,sysinfo,,,"x86_64",1315578372704
ws,sysinfo,,,"cocoa",1315578372704
locale,sysinfo,,,"en_US",1315578372704
processors,sysinfo,,,"2",1315578372705
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1315578372705
java.runtime.version,sysinfo,,,"1.5.0_13-b05-237",1315578372705
java.specification.name,sysinfo,,,"Java Platform API Specification",1315578372705
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315578372705
java.specification.version,sysinfo,,,"1.5",1315578372705
java.vendor,sysinfo,,,"Apple Inc.",1315578372705
java.version,sysinfo,,,"1.5.0_13",1315578372705
java.vm.info,sysinfo,,,"mixed mode",1315578372705
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1315578372705
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1315578372705
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315578372705
java.vm.specification.version,sysinfo,,,"1.0",1315578372705
java.vm.vendor,sysinfo,,,"Apple Inc.",1315578372705
java.vm.version,sysinfo,,,"1.5.0_13-119",1315578372705
