what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"macosx",1315510450355
arch,sysinfo,,,"x86_64",1315510450355
ws,sysinfo,,,"cocoa",1315510450355
locale,sysinfo,,,"en_US",1315510450355
processors,sysinfo,,,"2",1315510450355
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1315510450355
java.runtime.version,sysinfo,,,"1.5.0_13-b05-237",1315510450355
java.specification.name,sysinfo,,,"Java Platform API Specification",1315510450355
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315510450355
java.specification.version,sysinfo,,,"1.5",1315510450355
java.vendor,sysinfo,,,"Apple Inc.",1315510450355
java.version,sysinfo,,,"1.5.0_13",1315510450355
java.vm.info,sysinfo,,,"mixed mode",1315510450355
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1315510450355
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1315510450355
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315510450355
java.vm.specification.version,sysinfo,,,"1.0",1315510450355
java.vm.vendor,sysinfo,,,"Apple Inc.",1315510450355
java.vm.version,sysinfo,,,"1.5.0_13-119",1315510450355
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1315510450364
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1315510450643
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1315510451678
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315510489817
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1315510489822
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1315510494680
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1315510495413
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1315510495415
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1315510496201
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1315510496205
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1315510496207
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315510496432
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1315510498684
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315510498827
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315510504218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315510515268
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1315510515311
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1315510517244
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1315510517333
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1315510517751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315510517933
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315510518045
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315510520808
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315510822007
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.cocoa.closeDialog",1315510822013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315510829177
error,log,,,"Failed to load properties file for project 'helloworld'",1315510863309
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1315510863345
started,bundle,org.eclipse.m2e.core,1.0.0.20110607-2117,"org.eclipse.m2e.core",1315510870997
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1315510871809
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315510873611
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1315510877709
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1315510881989
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1315510889816
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1315510889979
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1315510894008
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1315510894421
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1315510895824
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1315510898812
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1315510900902
activated,view,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui.views.tasks",1315510901377
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1315510901578
closed,view,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui.views.tasks",1315510901691
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1315510903681
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1315510903844
closed,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1315510903862
started,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1315510903899
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1315510903910
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1315510903919
