what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315767349307
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1315767455319
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315767482612
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315767488934
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1315767488974
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315767846755
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315767847254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315767850648
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315767858244
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1315767871059
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1315767897878
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1315767903969
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1315767918113
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1315767920232
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1315767923856
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1315767931594
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1315767950712
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1315767958802
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1315767975233
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1315767979086
error,log,,,"main.xml: Failed lot load /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable-mdpi/list_pressed_holo_dark.9.png",1315767983181
error,log,,,"main.xml: Failed to parse file /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable/list_selector_background_transition_holo_dark.xml",1315767983184
error,log,,,"main.xml: Failed to parse file /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable/list_selector_holo_dark.xml",1315767983186
error,log,,,"main.xml: Failed lot load /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable-mdpi/list_divider_holo_dark.9.png",1315767983200
error,log,,,"main.xml: Failed lot load /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable-hdpi/list_pressed_holo_dark.9.png",1315767999378
error,log,,,"main.xml: Failed to parse file /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable/list_selector_background_transition_holo_dark.xml",1315767999380
error,log,,,"main.xml: Failed to parse file /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable/list_selector_holo_dark.xml",1315767999382
error,log,,,"main.xml: Failed lot load /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable-hdpi/list_divider_holo_dark.9.png",1315767999392
error,log,,,"palette: Failed lot load /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable-hdpi/list_pressed_holo_dark.9.png",1315767999660
error,log,,,"palette: Failed to parse file /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable/list_selector_background_transition_holo_dark.xml",1315767999663
error,log,,,"palette: Failed to parse file /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable/list_selector_holo_dark.xml",1315767999665
error,log,,,"palette: Failed lot load /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable-hdpi/list_pressed_holo_dark.9.png",1315768000512
error,log,,,"palette: Failed to parse file /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable/list_selector_background_transition_holo_dark.xml",1315768000567
error,log,,,"palette: Failed to parse file /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable/list_selector_holo_dark.xml",1315768000569
error,log,,,"palette: Failed lot load /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable-hdpi/list_pressed_holo_dark.9.png",1315768000982
error,log,,,"palette: Failed to parse file /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable/list_selector_background_transition_holo_dark.xml",1315768000989
error,log,,,"palette: Failed to parse file /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable/list_selector_holo_dark.xml",1315768000996
error,log,,,"palette: Failed lot load /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable-hdpi/list_pressed_holo_dark.9.png",1315768001026
error,log,,,"palette: Failed to parse file /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable/list_selector_background_transition_holo_dark.xml",1315768001029
error,log,,,"palette: Failed to parse file /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable/list_selector_holo_dark.xml",1315768001035
error,log,,,"palette: Failed lot load /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable-hdpi/list_divider_holo_dark.9.png",1315768001074
error,log,,,"palette: Failed lot load /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable-ldpi/tab_selected_bar_left.9.png",1315768002466
error,log,,,"palette: Failed to parse file /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable/tab_bottom_left.xml",1315768002470
error,log,,,"palette: Failed lot load /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable-ldpi/tab_selected_bar_right.9.png",1315768002504
error,log,,,"palette: Failed to parse file /Applications/android-sdk-mac_x86/platforms/android-13/data/res/drawable/tab_bottom_right.xml",1315768002509
